,Group 1a,Group 1b,Group 1c,Group 1d,Group 1e,Group 1f,Group 2a,Group 2b,Group 2c,Group 2d,Group 2e,Group 2f,Group 3a,Group 3b,Group 3c,Group 3d,Group 3e,Group 3f
10,retracting cord reel,Restrictive to try to pick up the socks while also vacuuming - the user's body had a hard time navigating around the vacuum to perform the task of picking up the socks;,putting the cord back without tangling,Low startup and shutdown complexity,Would this method of cleaning the floor be accessible to everyone? Bending down to pick large items up or to deal with the vacuum cord is physically restrictive,untangling the cord,tracking where the vacuum has already gone (repeating spots often),Powerful vacuum,something to keep the cord from getting caught when she is vacuuming and moving back/forth,Access hard-to-reach spaces,"The vacuum itself looks heavy, it may be in their best interests to use a lighter one",to mesh better with her body and overall be more light,A more ergonomic vacuum handle/overall design,Wire gets in the way during vacuuming,Can move product around while using,slides/rolls easily (ie without a lot of user effort) on different flooring surfaces,to have the cleaning device take up as little space as possible when stored,Looped back over the excess cable on the floor
11,more desk space to place socks picked up off the ground,to clean with relatively little bending over.,a way to keep the vacuum upright and standing on its own when wrapping the chord,Flexible (can fit in tight spaces),Should not get tangled with wires when in use,Bottom of the vacuum will slide while the user tries to wrap the wire up,Can be stored easily in tight spaces,"battery powered and corded, i.e. they can plug it in to charge it and use it at the same time, or they can disconnect the plug from the wall and use it battery powered",cord does not tangle,A way to use the vacuum without tripping over the cord,Looped back over the excess cable on the floor,Better storage system of chord,height of components that user must interact with physically are comfortable,to be able to control the movement of the device,needs someone to help her move the furniture around so she can adequately clean the space,Height adjustability,ability to see where you have vacuumed,to pick up baseball sized objects off the floor
12,cord does not collect dirt/dust during use,does not damage walls or furniture on contact;,easy to conform path by hand around variable sized and shaped obstacles,Can move product around while using,Tool that cleans the floor,a less uncomfortable design- one that is more of an extension of her arm- it looks extremely difficult and bulky to move around,something to make more space when wrapping up the cord so that it is easier to get it all on the hooks and not have it keep falling off;,to be able to easily adjust and fix the cleaning device,Height adjustability,What is the user supposed to do with the socks? Difficult to multitask - hold the socks while vacuuming or while trying to put the vacuum away,Access to the entire room,to be able to reach all locations on the floor,Move potential larger blockages on the floor out of the way,Looks like it can easily fall based on the mass distribution within the vacuum,Can adjust the product to fit what user intends to do,The product should be able to maneuver easily around and below furniture and objects on the floor,moving the cord out of the way,something to make more space when wrapping up the cord so that it is easier to get it all on the hooks and not have it keep falling off;
13,to be able to start cleaning relatively quickly,to mesh better with her body and overall be more light,What is the user supposed to do with the socks? Difficult to multitask - hold the socks while vacuuming or while trying to put the vacuum away,"a way to vacuum space with different obstacles, such as furniture, objects on the ground, and room corners",Seems not too heavy to carry around;,some way to keep the vacuum stable while she is wrapping the cord around,Cord organization method while user is vacuuming so it does not become tangled or become another obstacle,Continuous operation for extended periods of time,easier mobility of the vacuum head,more desk space to place socks picked up off the ground,to be able to clean with relatively little torque on their wrist (i.e. not get into a wrist lock),"May need a light to illuminate dark spaces when vacuuming, such as under the table or behind a desk",Storage space is very crowded making it hard for the user to access the outlet and the vacuum,somewhere to place the items picked up off the ground,A place to store all the objects the user picks up from the floor,compact storage,What is the user supposed to do with the socks? Difficult to multitask - hold the socks while vacuuming or while trying to put the vacuum away,easily manageable cord
14,Vacuum is not very secure resting on the edge of the table;,Bottom of vacuum should be easier to put flush against ground,Can be stored easily in tight spaces,"Nowhere to lock in the wire at the top of the vacuum, the use just flops the wire over the top of the vacuum handle",Maneuverable,A way to support or let vacuum free stand without human interaction,a design that doesn't force her to bend her back as much,Cord untangling method after vacuuming and after the cord has traveled along the space with the user,Power source to plug vacuum cord into,storage such as shelves to keep items off the floor,a place to put lose items that have been collected,A vacuum cleaner with a more manageable power cord,"battery powered and corded, i.e. they can plug it in to charge it and use it at the same time, or they can disconnect the plug from the wall and use it battery powered",More agile vacuum for better maneuverability in tighter turns;,Low startup and shutdown complexity,Easy to store,"User has to kneel in a non-ergonomic position to wrap vacuum cord, a better cord placement / storage system would be ideal",Struggled to rewrap the cable
15,Wire on the vacuum is difficult to unravel,A mechanism to pick up all loose items/furniture from the floor before vacuuming,Should be able to turn on easily,"Could be shorter and more compact, that might allow for more ease of movement",to maneuver vacuum head efficiently around obstacles,help activating the Roomba instead (if that's what's near the Elmers box),Cleans small objects,user does not have to bend down during use,"low tension continuous retracting cord reel which is optimized across the complete cord length, i.e. in problem point 8 her hands are full and she needs to manage the cable - if it continuously managed tension to prevent too much cable from being let out, while letting the user complete retract the cable at the end with a higher tension reel, this problem would be addressed;",slides/rolls easily (ie without a lot of user effort) on different flooring surfaces,less need to pick the entire vacuum head up off the floor,Unwrapped the entire cable from the start,Avoid getting tangled with the cord,Tool that cleans the floor,to mesh better with her body and overall be more light,Or may need an height-adjustable vacuum instead for ease of movement;,Single-handed operation,"Could be shorter and more compact, that might allow for more ease of movement"
16,long cord reach/reach from power source if stationary,Vacuum seems somewhat heavy when picked up to move across obstacles like the wire,moving the cord out of the way,storage such as shelves to keep items off the floor,Access to the entire room,Easier access to electrical outlet,more securely balancing vacuum instead of balancing on a table,Easy to store,A place to put the trash that was on the floor,Single-handed operation,More agile vacuum for better maneuverability in tighter turns;,Vacuum is not very secure resting on the edge of the table;,Confused by dropping the vacuum foot,"The vacuum is very heavy at the top, making it harder to keep it stationary when unraveling or raveling the chords",wireless vacuum,Restrictive to try to pick up the socks while also vacuuming - the user's body had a hard time navigating around the vacuum to perform the task of picking up the socks;,Have to bend down to plug in,ability to cover large area efficiently
17,easier mobility of the vacuum head,"Device robustness to impact, both of the brush head and the pylon",more convenient methods for storing and setting up the device,A sightly place to store the vacuum cleaner when done vacuuming,Confused by dropping the vacuum foot,Ability to clean multiple surfaces,cord stays out of way of vacuum and user,Low startup and shutdown complexity,Multiple cleaning functions,somewhere to place the items picked up off the ground,Should be able to use without moving around too much,does not damage walls or furniture on contact;,Easy to empty out the collection bin and reassemble,some way to keep the vacuum stable while she is wrapping the cord around,Easy to move around;,Cord organization so user does not have to navigate around cord or pick up cord while using the vacuum,Powerful vacuum,Every time the user has to bend down to wind the cord or pick something up it is ergonomically bad
18,Clog detection/warning;,Was the vacuum the best tool for the users need of cleaning?,easier reach under desks/into harder to reach spaces,compact storage,"May need a light to illuminate dark spaces when vacuuming, such as under the table or behind a desk",as many functions as possible can be engaged by user while in standing position,some way to keep the vacuum stable while she is wrapping the cord around,Can stand on its own,some better way of making sure chord doesn't interfere with vacuum,Flexible (can fit in tight spaces),lightweight,easy to conform path by hand around variable sized and shaped obstacles,cord stays out of way of vacuum and user,to clean with relatively little bending over.,The large box by the door needs to be removed to vacuum that space;,Vacuum seems somewhat heavy when picked up to move across obstacles like the wire,"The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times",does not damage walls or furniture on contact;
19,Pick up stuff that is in the way of the tool cleaning the floor,Unsure how to secure the end of the cable,large capacity/ability to vacuum large space at once,help moving large items off the floor to vacuum under them,A vacuum cleaner with a more manageable power cord,a way to move objects on ground rather than picking them up to save effort,removing items off the ground,retracting cord reel,to pick up objects along the way,a way to store the dirt and mess that they clean away from the floor,"Could be shorter and more compact, that might allow for more ease of movement",A hair elastic so hair doesn't get in the way while vacuuming,help activating the Roomba instead (if that's what's near the Elmers box),removing items off the ground,to be able to easily adjust and fix the cleaning device,Storage for the vacuum,lightweight,tracking where the vacuum has already gone (repeating spots often)
20,to be able to easily adjust and fix the cleaning device,Somewhere to place the different objects that she is picking up off the floor,Access hard-to-reach spaces,less need to pick the entire vacuum head up off the floor,easier way to plug vacuum into the wall,Vacuum handle doesn't seem to give the user the best control on the vaccuum's direction;,a less uncomfortable design- one that is more of an extension of her arm- it looks extremely difficult and bulky to move around,Outlet placement compared to the size of the room,to clean the floor in as little time as possible;,a way to not step on the wire,"Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height",Struggled with cable unwrapping,cord can be easily secured at its end,"generally not having to support the vacuum when it is not in use (some way to ""park"" it);",A sightly place to store the vacuum cleaner when done vacuuming,Bottom of the vacuum will slide while the user tries to wrap the wire up,to be able to reach all locations on the floor,a better storage system for vacuum
21,something to keep the cord from getting caught when she is vacuuming and moving back/forth,easy to lift up and reposition,to stand/sit in a comfortable position while cleaning,Should be able to use without moving around too much,ability to see where you have vacuumed,Cable caught on the wheels,a way to keep the vacuum upright and standing on its own when wrapping the chord,"There are lots of larger objects in the way during vacuuming, like bins and boxes",Storage space is very crowded making it hard for the user to access the outlet and the vacuum,Struggled to balance the vacuum cleaner upright when not held,a method for powering the vacuum cleaner or cleaning device,Easier access to electrical outlet,Outlet placement compared to the size of the room,Vacuum handle doesn't seem to give the user the best control on the vaccuum's direction;,Continuous operation for extended periods of time,quickly store cord after use,easier mobility of the vacuum head,"low tension continuous retracting cord reel which is optimized across the complete cord length, i.e. in problem point 8 her hands are full and she needs to manage the cable - if it continuously managed tension to prevent too much cable from being let out, while letting the user complete retract the cable at the end with a higher tension reel, this problem would be addressed;"
22,some way to make sure the cord does not get tangled as she is moving around,"The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times",Way to efficiently organize and wrap vacuum cord,Easy to empty out the collection bin and reassemble,basket attachment to place larger items instead of carrying them by hand,How to know which parts of the floor need cleaning and which don't/how to know when the task is done,stabilize the vacuum while putting cord away,needs someone to help her move the furniture around so she can adequately clean the space,Unsure how to secure the end of the cable,Stable storage (ie does not tip or roll),a better storage system for vacuum,Storage for the vacuum,"Storage space for vacuum such that it can be kept in a stable, upright position;",Have to bend down to clean larger objects like socks,to be able to start cleaning relatively quickly,Easier way to unwrap and rewrap the vacuum cord,a less uncomfortable design- one that is more of an extension of her arm- it looks extremely difficult and bulky to move around,Intuitive to understand and use
23,Vacuum head flops down during vacuuming when the vacuum gets picked up,some better way of making sure chord doesn't interfere with vacuum,Outlet placement compared to the size of the room,"low tension continuous retracting cord reel which is optimized across the complete cord length, i.e. in problem point 8 her hands are full and she needs to manage the cable - if it continuously managed tension to prevent too much cable from being let out, while letting the user complete retract the cable at the end with a higher tension reel, this problem would be addressed;",A place to store all the objects the user picks up from the floor,The table near the outlet needs to be removed,"Storage space for vacuum such that it can be kept in a stable, upright position;",Have to bend down to clean larger objects like socks,Pick up stuff that is in the way of the tool cleaning the floor,Easy to move around;,Smaller / more agile vacuum head to reach tight spaces,as many functions as possible can be engaged by user while in standing position,easy to conform path by hand around variable sized and shaped obstacles,something to keep the cord from getting caught when she is vacuuming and moving back/forth,cord does not tangle,"Potential mobility/dexterity difficulties, or just unfamiliarity with vacuum cleaners",Unsure how to secure the end of the cable,to be able to clean larger areas for relatively less movement with their own body
24,placing the end of the vacuum cord somewhere more obvious/convenience,"There are lots of larger objects in the way during vacuuming, like bins and boxes",quickly store cord after use,needs the head of the vacuum to be heavier as to not have it shift around so much and stay on the ground;,A more ergonomic vacuum handle/overall design,Continuous operation for extended periods of time,Presumably minimize noise,Ability to clean multiple surfaces,height of components that user must interact with physically are comfortable,Easier way to unwrap and rewrap the vacuum cord,Intuitive controls,long cord reach/reach from power source if stationary,Intuitive controls,to be able to clean the floor while mostly standing,Wire on the vacuum is difficult to unravel,Cable caught on the wheels,to clean the floor in as little time as possible;,A place to put the trash that was on the floor
25,to be able to see the progress of cleaning;,Cord untangling method after vacuuming and after the cord has traveled along the space with the user,Easy to move around;,The large box by the door needs to be removed to vacuum that space;,Can stand on its own,to be able to clean all locations on the floor without tripping hazards or major obstructions,Maneuverable,to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning,A more ergonomic vacuum handle/overall design,moving the cord out of the way,Was the vacuum the best tool for the users need of cleaning?,Restrictive to try to pick up the socks while also vacuuming - the user's body had a hard time navigating around the vacuum to perform the task of picking up the socks;,large range of motion from given user position (ie user can vacuum large area without moving),Chord requires too much up/down movement to unravel,"Wire on the vacuum is difficult to wrap back up, because it is very long and must bend down to wrap it up","a cleaner workspace, as the vacuuming could have been simplified much more",to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning,Vacuum is not very secure resting on the edge of the table;
26,"Vacuum does not turn super easily, user has to drag it in the direction they desire at certain points",removing items off the ground,Storage for the vacuum,Place to clip the plug or the end of the coord so it does not become easily unravelled through the vacuum's storage;,ideally will only need to use 1 hand in order to clean the floor,"a cleaner workspace, as the vacuuming could have been simplified much more",Should be able to turn on easily,The room is very cluttered making it difficult for the user to navigate the space,Vacuum seems somewhat heavy when picked up to move across obstacles like the wire,"Vacuum angle is locked in position at the start, must use foot to unlock",A less cluttered room to vacuum;,to be able to control the movement of the device,untangling the cord,Unwrapped the entire cable from the start,The room is very cluttered making it difficult for the user to navigate the space,storage that is more geometrically fitting to the sides of the room to make the task of vacuuming easier,Clog detection/warning;,A way to support or let vacuum free stand without human interaction
27,to have the cleaning device take up as little space as possible when stored,"Potential mobility/dexterity difficulties, or just unfamiliarity with vacuum cleaners",a place to put lose items that have been collected,"a way to be able to move obstructions other than small items on ground (table, boxes)",Easier way to unwrap and rewrap the vacuum cord,cord can be easily secured at its end,Device stability while free standing,Intuitive to understand and use,large range of motion from given user position (ie user can vacuum large area without moving),Struggled to rewrap the cable,to stand/sit in a comfortable position while cleaning,to be able to clean the floor while mostly standing,more securely balancing vacuum instead of balancing on a table,Help with holding up the vacuum on their own,retracting cord reel,to be able to clean all locations on the floor without tripping hazards or major obstructions,"The vacuum does not stand on its own, the user has to prop / hold it up while wrapping the wire",storage such as shelves to keep items off the floor
28,Device stability while free standing,Smaller / more agile vacuum head to reach tight spaces,to have the device effectively maintain contact with the ground/ have continuous cleaning capabilities while in use,a way to not step on the wire,to pick up baseball sized objects off the floor,vacuum in corners and along edges,to have the device effectively maintain contact with the ground/ have continuous cleaning capabilities while in use,A sightly place to store the vacuum cleaner when done vacuuming,Move potential larger blockages on the floor out of the way,Place to clip the plug or the end of the coord so it does not become easily unravelled through the vacuum's storage;,The product should be able to maneuver easily around and below furniture and objects on the floor,Way to help the user identify dirty parts of the surface,"The vacuum itself looks heavy, it may be in their best interests to use a lighter one","a way so that when she is vacuuming, she doesn't have to drive the vacuum back into her body, as that gives her a small range of motion",to pick up objects along the way,"Device robustness to impact, both of the brush head and the pylon",placing the end of the vacuum cord somewhere more obvious/convenience,Flexible vacuum stem so user can vacuum under low desks or gaps with no obstructions
29,Kept the trigger held even when lifting the suction end over the cable;,"Tracking method for remembering which places have been vacuumed / need to be vacuumed again, versus places that are already clean","The vacuum itself looks heavy, it may be in their best interests to use a lighter one","someway to store the cord that is just excess while moving around the vacuum, something retractable?",to be able to clean larger areas for relatively less movement with their own body,Struggled with cable unwrapping,Has place to wrap wires,Vacuum head flops down during vacuuming when the vacuum gets picked up,needs the head of the vacuum to be heavier as to not have it shift around so much and stay on the ground;,wireless vacuum,Would this method of cleaning the floor be accessible to everyone? Bending down to pick large items up or to deal with the vacuum cord is physically restrictive,Confused by dropping the vacuum foot,Has to fit in tight spaces while in use,Place to clip the plug or the end of the coord so it does not become easily unravelled through the vacuum's storage;,ergonomic cord storage (ie not uncomfortable to plug in cord or return to storage),a design that doesn't force her to bend her back as much,Maneuverable,a way to store the dirt and mess that they clean away from the floor
30,easily manageable cord,Intuitive to understand and use,Wire gets in the way during vacuuming,"generally not having to support the vacuum when it is not in use (some way to ""park"" it);",A less cluttered room to vacuum;,Struggled to rewrap the cable,Somewhere to place the different objects that she is picking up off the floor,The table near the outlet needs to be removed,"Device robustness to impact, both of the brush head and the pylon",easily manageable cord,some way to make sure the cord does not get tangled as she is moving around,Wire gets in the way during vacuuming,How to know which parts of the floor need cleaning and which don't/how to know when the task is done,a way to move objects on ground rather than picking them up to save effort,to be able to clean objects off the floor,as many functions as possible can be engaged by user while in standing position,a way to keep the vacuum upright and standing on its own when wrapping the chord,Multiple cleaning functions
31,tracking where the vacuum has already gone (repeating spots often),A vacuum that has a distinct mode for hard floor surfaces,Flexible vacuum stem so user can vacuum under low desks or gaps with no obstructions,"User has to kneel in a non-ergonomic position to wrap vacuum cord, a better cord placement / storage system would be ideal",Avoid getting tangled with the cord,to pick up objects along the way,compact storage,basket attachment to place larger items instead of carrying them by hand,easier reach under desks/into harder to reach spaces,Lightweight;,Or may need an height-adjustable vacuum instead for ease of movement;,Cord organization so user does not have to navigate around cord or pick up cord while using the vacuum,to maneuver vacuum head efficiently around obstacles,Cord organization method while user is vacuuming so it does not become tangled or become another obstacle,to be able to see the progress of cleaning;,Would this method of cleaning the floor be accessible to everyone? Bending down to pick large items up or to deal with the vacuum cord is physically restrictive,Special shoes that don't dirty the floor as you vacuum the floor,stabilize the vacuum while putting cord away
32,wireless vacuum,"The vacuum is very heavy at the top, making it harder to keep it stationary when unraveling or raveling the chords",cord does not tangle,"Wire on the vacuum is difficult to wrap back up, because it is very long and must bend down to wrap it up",Every time the user has to bend down to wind the cord or pick something up it is ergonomically bad,Can adjust the product to fit what user intends to do,removable bin to store small things you pick up off the floor that you can't vacuum up,"The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times","a way to be able to move obstructions other than small items on ground (table, boxes)",placing the end of the vacuum cord somewhere more obvious/convenience,can reach under common furniture items,Seems not too heavy to carry around;,Stable storage (ie does not tip or roll),removable bin to store small things you pick up off the floor that you can't vacuum up,"Vacuum does not turn super easily, user has to drag it in the direction they desire at certain points",Struggled with cable unwrapping,Was the vacuum the best tool for the users need of cleaning?,Non-marking or damaging to the surface
33,to be able to clean the floor while mostly standing,Powerful vacuum,"Storage space for vacuum such that it can be kept in a stable, upright position;","Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height",more securely balancing vacuum instead of balancing on a table,user does not have to bend down during use,"a way to vacuum space with different obstacles, such as furniture, objects on the ground, and room corners",cord is secure as stored and does not come undone;,Flexible vacuum stem so user can vacuum under low desks or gaps with no obstructions,Every time the user has to bend down to wind the cord or pick something up it is ergonomically bad,How to know which parts of the floor need cleaning and which don't/how to know when the task is done,Clog detection/warning;,a method for powering the vacuum cleaner or cleaning device,vacuum in corners and along edges,a place to put lose items that have been collected,Should be able to turn on easily,"a way to vacuum space with different obstacles, such as furniture, objects on the ground, and room corners",easier chord management system
34,a better storage system for vacuum,Cleans small objects,a design that doesn't force her to bend her back as much,Multiple cleaning functions,"Working with the chord took a large majority of the time spent vacuuming. If time is important to the user, the user may need a different type of chord that takes less time to manage.;",Way to help the user identify dirty parts of the surface,"Working with the chord took a large majority of the time spent vacuuming. If time is important to the user, the user may need a different type of chord that takes less time to manage.;",A place to store all the objects the user picks up from the floor,ideally will only need to use 1 hand in order to clean the floor,vacuum in corners and along edges,Looks like it can easily fall based on the mass distribution within the vacuum,to be able to start cleaning relatively quickly,large capacity/ability to vacuum large space at once,"Working with the chord took a large majority of the time spent vacuuming. If time is important to the user, the user may need a different type of chord that takes less time to manage.;",Cord untangling method after vacuuming and after the cord has traveled along the space with the user,Should be able to use without moving around too much,easier reach under desks/into harder to reach spaces,basket attachment to place larger items instead of carrying them by hand
35,Has to fit in tight spaces while in use,A hair elastic so hair doesn't get in the way while vacuuming,A way to use the vacuum without tripping over the cord,a way to store the dirt and mess that they clean away from the floor,to be able to clean objects off the floor,easily maeurverable by hand,help activating the Roomba instead (if that's what's near the Elmers box),ability to see where you have vacuumed,More efficient way to unwrap and rewrap the cord on the vacuum,to maneuver vacuum head efficiently around obstacles,Kept the trigger held even when lifting the suction end over the cable;,Should not get tangled with wires when in use,Power source to plug vacuum cord into,Pick up stuff that is in the way of the tool cleaning the floor,a way to not step on the wire,Presumably minimize noise,Should be able to pick up slightly larger objects,Can be stored easily in tight spaces
36,0,0,Easy to store,0,0,needs someone to help her move the furniture around so she can adequately clean the space,0,0,to clean with relatively little bending over.,0,0,"The vacuum does not stand on its own, the user has to prop / hold it up while wrapping the wire",0,0,Ability to clean multiple surfaces,0,0,needs the head of the vacuum to be heavier as to not have it shift around so much and stay on the ground;
